Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,0,1,2
2020-03-19,0,1,2
2020-03-20,0,1,6
2020-03-21,0,1,7
2020-03-22,0,1,8
2020-03-23,0,1,10
2020-03-24,0,2,24
2020-03-25,0,4,28
2020-03-26,0,9,45
2020-03-27,0,12,48
2020-03-28,1,9,37
2020-03-29,1,9,37
2020-03-30,2,9,48
2020-03-31,3,9,52
2020-04-01,4,9,55
2020-04-02,4,10,55
2020-04-03,10,11,60
2020-04-04,13,11,70
2020-04-05,14,11,78
2020-04-06,17,10,77
2020-04-07,18,11,90
2020-04-08,19,12,100
2020-04-09,23,13,105
2020-04-10,24,16,111
2020-04-11,26,14,112
2020-04-12,27,15,117
2020-04-13,28,17,124
2020-04-14,30,18,131
2020-04-15,32,18,132
2020-04-16,34,17,132
2020-04-17,34,17,145
2020-04-18,37,14,139
2020-04-19,37,14,136
2020-04-20,37,12,136
2020-04-21,39,9,122
2020-04-22,40,11,115
2020-04-23,43,10,108
2020-04-24,43,9,108
2020-04-25,43,8,104
2020-04-26,43,8,104
2020-04-27,44,9,103
2020-04-28,44,10,97
2020-04-29,44,9,93
2020-04-30,46,8,99
2020-05-01,46,8,98
2020-05-02,46,8,98
2020-05-03,46,8,98
2020-05-04,48,5,97
2020-05-05,48,6,83
2020-05-06,48,6,84
2020-05-07,49,5,83
2020-05-08,49,5,86
2020-05-09,52,3,74
2020-05-10,52,3,74
2020-05-11,55,5,75
2020-05-12,56,3,71
2020-05-13,56,3,72
2020-05-14,56,3,70
2020-05-15,57,3,67
2020-05-16,58,3,64
2020-05-17,58,3,64
2020-05-18,58,2,63
2020-05-19,58,1,58
2020-05-20,58,0,56
2020-05-21,58,0,56
2020-05-22,59,0,55
2020-05-23,59,0,55
2020-05-24,59,0,55
2020-05-25,59,0,55
2020-05-26,60,0,24
2020-05-27,60,0,21
2020-05-28,61,0,20
2020-05-29,61,0,29
2020-05-30,61,0,27
2020-05-31,61,0,27
2020-06-01,61,0,27
2020-06-02,61,0,24
2020-06-03,61,0,24
2020-06-04,61,0,23
2020-06-05,61,0,20
2020-06-06,60,0,20
2020-06-07,60,0,21
2020-06-08,60,0,20
2020-06-09,60,0,20
2020-06-10,60,0,19
2020-06-11,60,1,20
2020-06-12,60,1,20
2020-06-13,60,1,19
2020-06-14,60,1,19
2020-06-15,60,0,19
2020-06-16,60,0,18
2020-06-17,60,0,12
2020-06-18,60,0,13
2020-06-19,60,0,12
2020-06-20,60,0,12
2020-06-21,60,0,12
2020-06-22,60,0,11
2020-06-23,60,0,12
2020-06-24,60,0,13
2020-06-25,60,0,13
2020-06-26,60,0,13
2020-06-27,60,1,15
2020-06-28,60,1,15
2020-06-29,60,1,15
2020-06-30,60,1,15
2020-07-01,60,1,15
2020-07-02,60,0,6
2020-07-03,60,0,6
2020-07-04,60,0,6
2020-07-05,60,0,6
2020-07-06,60,0,6
2020-07-07,60,0,5
2020-07-08,60,0,5
2020-07-09,60,0,5
2020-07-10,60,0,5
2020-07-11,60,0,4
2020-07-12,60,0,4
2020-07-13,60,1,4
2020-07-14,60,1,4
2020-07-15,60,1,5
2020-07-16,60,1,5
