dep,jour,P,T,cl_age90,pop,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
21,2020-05-13,4,315,0,532886.0,1.2698412698412698,,,
21,2020-05-14,7,329,0,532886.0,2.127659574468085,,,
21,2020-05-15,7,444,0,532886.0,1.5765765765765765,,,
21,2020-05-16,4,126,0,532886.0,3.1746031746031744,,,
21,2020-05-17,0,65,0,532886.0,0.0,,,
21,2020-05-18,10,356,0,532886.0,2.8089887640449436,,,
21,2020-05-19,13,409,0,532886.0,3.1784841075794623,45.0,2044.0,2.2015655577299413
21,2020-05-20,5,359,0,532886.0,1.392757660167131,46.0,2088.0,2.203065134099617
21,2020-05-21,0,75,0,532886.0,0.0,39.0,1834.0,2.1264994547437297
21,2020-05-22,13,319,0,532886.0,4.075235109717868,45.0,1709.0,2.633118782913985
21,2020-05-23,0,130,0,532886.0,0.0,41.0,1713.0,2.3934617629889083
21,2020-05-24,1,74,0,532886.0,1.3513513513513513,42.0,1722.0,2.4390243902439024
21,2020-05-25,4,330,0,532886.0,1.2121212121212122,36.0,1696.0,2.1226415094339623
21,2020-05-26,3,350,0,532886.0,0.8571428571428572,26.0,1637.0,1.588271227855834
21,2020-05-27,5,231,0,532886.0,2.1645021645021645,26.0,1509.0,1.7229953611663356
21,2020-05-28,3,293,0,532886.0,1.023890784982935,29.0,1727.0,1.679212507237985
21,2020-05-29,2,295,0,532886.0,0.6779661016949152,18.0,1703.0,1.0569583088667058
21,2020-05-30,2,165,0,532886.0,1.2121212121212122,20.0,1738.0,1.1507479861910241
21,2020-05-31,0,76,0,532886.0,0.0,19.0,1740.0,1.0919540229885056
21,2020-06-01,0,58,0,532886.0,0.0,15.0,1468.0,1.021798365122616
21,2020-06-02,1,280,0,532886.0,0.35714285714285715,13.0,1398.0,0.9298998569384835
21,2020-06-03,0,283,0,532886.0,0.0,8.0,1450.0,0.5517241379310345
21,2020-06-04,1,313,0,532886.0,0.3194888178913738,6.0,1470.0,0.40816326530612246
21,2020-06-05,0,290,0,532886.0,0.0,4.0,1465.0,0.27303754266211605
21,2020-06-06,1,148,0,532886.0,0.6756756756756757,3.0,1448.0,0.20718232044198895
21,2020-06-07,0,60,0,532886.0,0.0,3.0,1432.0,0.20949720670391062
21,2020-06-08,3,279,0,532886.0,1.0752688172043012,6.0,1653.0,0.3629764065335753
21,2020-06-09,2,376,0,532886.0,0.5319148936170213,7.0,1749.0,0.4002287021154946
