Date,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées
2020-03-18,6,33,168
2020-03-19,14,47,194
2020-03-20,22,71,270
2020-03-21,27,79,283
2020-03-22,40,83,345
2020-03-23,62,99,411
2020-03-24,85,121,477
2020-03-25,102,150,591
2020-03-26,123,166,679
2020-03-27,139,186,740
2020-03-28,148,194,787
2020-03-29,164,217,873
2020-03-30,187,220,902
2020-03-31,214,212,914
2020-04-01,230,229,963
2020-04-02,271,250,1017
2020-04-03,303,265,1028
2020-04-04,323,274,1075
2020-04-05,341,275,1120
2020-04-06,367,285,1176
2020-04-07,396,295,1212
2020-04-08,412,292,1227
2020-04-09,427,283,1211
2020-04-10,459,290,1282
2020-04-11,478,278,1239
2020-04-12,500,278,1294
2020-04-13,512,284,1309
2020-04-14,551,285,1361
2020-04-15,581,274,1341
2020-04-16,607,279,1370
2020-04-17,623,262,1380
2020-04-18,644,255,1351
2020-04-19,657,239,1327
2020-04-20,677,238,1334
2020-04-21,705,229,1319
2020-04-22,721,234,1334
2020-04-23,753,217,1283
2020-04-24,770,203,1233
2020-04-25,786,201,1216
2020-04-26,797,195,1218
2020-04-27,814,196,1210
2020-04-28,819,191,1199
2020-04-29,832,186,1186
2020-04-30,838,181,1181
2020-05-01,843,178,1140
2020-05-02,850,172,1139
2020-05-03,856,174,1143
2020-05-04,869,161,1141
2020-05-05,884,135,1113
2020-05-06,896,114,1111
2020-05-07,906,112,1049
2020-05-08,914,115,1011
2020-05-09,921,111,1002
2020-05-10,926,106,1000
2020-05-11,939,108,958
2020-05-12,947,105,896
2020-05-13,953,96,879
2020-05-14,956,95,863
2020-05-15,958,94,831
2020-05-16,959,94,811
2020-05-17,959,94,810
2020-05-18,969,86,797
2020-05-19,978,75,758
2020-05-20,980,70,730
2020-05-21,983,67,684
2020-05-22,988,62,661
2020-05-23,988,62,658
2020-05-24,990,61,656
2020-05-25,994,58,624
2020-05-26,997,54,514
2020-05-27,1001,49,467
2020-05-28,1004,48,448
2020-05-29,1008,40,422
2020-05-30,1009,34,421
2020-05-31,1010,34,416
2020-06-01,1011,34,415
2020-06-02,1013,32,390
2020-06-03,1017,29,351
2020-06-04,1022,26,337
2020-06-05,1022,25,328
2020-06-06,1022,24,324
2020-06-07,1022,23,324
2020-06-08,1023,22,321
2020-06-09,1027,22,299
2020-06-10,1031,22,271
2020-06-11,1031,22,268
2020-06-12,1030,21,234
2020-06-13,1032,20,226
2020-06-14,1032,20,221
2020-06-15,1032,19,223
2020-06-16,1032,18,211
2020-06-17,1033,15,197
2020-06-18,1034,15,192
2020-06-19,1034,12,173
2020-06-20,1034,12,173
2020-06-21,1034,12,173
2020-06-22,1035,12,171
2020-06-23,1035,13,167
2020-06-24,1036,13,162
2020-06-25,1037,12,157
2020-06-26,1037,12,158
2020-06-27,1037,13,161
2020-06-28,1037,13,161
2020-06-29,1038,12,162
2020-06-30,1038,11,147
2020-07-01,1041,9,132
2020-07-02,1042,7,121
2020-07-03,2084,10,220
2020-07-04,1042,5,109
2020-07-05,1042,5,109
2020-07-06,1042,5,109
2020-07-07,1044,6,105
2020-07-08,1044,7,102
2020-07-09,1045,6,86
2020-07-10,1057,6,86
