geometry,INSEE_COM,INSEE_DEP,NOM_COM_OK,fin_periode,clage_65,ti_classe,tp_classe,td_classe
"{""type"":""Polygon"",""coordinates"":[[[5.2373,47.05865],[5.233636,47.067177],[5.242437,47.076132],[5.242021,47.081837],[5.232326,47.08624],[5.220379,47.080024],[5.211836,47.078393],[5.201798,47.072014],[5.200286,47.078724],[5.196012,47.080287],[5.190517,47.076141],[5.192073,47.070316],[5.196518,47.064615],[5.183142,47.058814],[5.185285,47.053468],[5.177994,47.044995],[5.177834,47.038915],[5.174721,47.036132],[5.176117,47.033154],[5.193372,47.03239],[5.195957,47.022001],[5.20428,47.016152],[5.216239,47.017626],[5.213687,47.011625],[5.222371,47.010704],[5.225656,47.015136],[5.219636,47.019176],[5.219433,47.023034],[5.221036,47.026719],[5.232722,47.027007],[5.236439,47.031004],[5.235802,47.03608],[5.235625,47.042783],[5.230885,47.044451],[5.23018,47.049531],[5.2373,47.05865]]]}",21475,21,Pagny-le-Château (21),22/11,65,0 à 10,10 à 15,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.10679,47.376501],[4.113757,47.378552],[4.119304,47.384531],[4.113677,47.390202],[4.113181,47.39828],[4.105485,47.405212],[4.099366,47.413241],[4.083783,47.419811],[4.076761,47.416462],[4.072079,47.409005],[4.065197,47.407263],[4.069798,47.399997],[4.088452,47.396622],[4.089937,47.391779],[4.081686,47.388706],[4.076128,47.382912],[4.080174,47.376088],[4.087616,47.372757],[4.10679,47.376501]]]}",21538,21,Saint-Andeux (21),22/11,65,0 à 10,0 à 1,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[4.80854,47.548795],[4.801617,47.543804],[4.7999,47.541112],[4.78768,47.534973],[4.794839,47.530029],[4.798049,47.52515],[4.813603,47.525293],[4.815447,47.513693],[4.80467,47.501319],[4.8036,47.496641],[4.81113,47.500969],[4.818414,47.496816],[4.825628,47.501565],[4.832536,47.496362],[4.848749,47.49797],[4.857976,47.493843],[4.870962,47.492312],[4.878461,47.482361],[4.887433,47.485212],[4.881693,47.489692],[4.872204,47.501636],[4.865121,47.522316],[4.874077,47.527275],[4.860722,47.533765],[4.860221,47.540045],[4.852808,47.53855],[4.847305,47.545997],[4.830472,47.544832],[4.816218,47.54662],[4.80854,47.548795]]]}",21338,21,Lamargelle (21),22/11,65,0 à 10,15 à 20,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.619867,47.171284],[4.616469,47.162823],[4.627513,47.160699],[4.638864,47.156517],[4.645224,47.150068],[4.651246,47.147279],[4.660161,47.1492],[4.662246,47.162423],[4.656267,47.164013],[4.655755,47.170077],[4.663809,47.1742],[4.659557,47.176604],[4.647421,47.171965],[4.642684,47.167651],[4.63212,47.16622],[4.625876,47.170371],[4.619867,47.171284]]]}",21155,21,Chaudenay-la-Ville (21),22/11,65,0 à 10,0 à 1,300 à 600
"{""type"":""Polygon"",""coordinates"":[[[4.351993,47.166465],[4.348179,47.163535],[4.341936,47.154383],[4.332941,47.150154],[4.332256,47.144906],[4.3384,47.140724],[4.355396,47.133511],[4.365598,47.126308],[4.375577,47.122285],[4.388005,47.12182],[4.390401,47.131486],[4.40512,47.137481],[4.406777,47.141872],[4.415632,47.143223],[4.417763,47.148908],[4.405277,47.149933],[4.393007,47.159452],[4.395901,47.163352],[4.387237,47.161659],[4.375101,47.153138],[4.373246,47.160212],[4.36468,47.161852],[4.351993,47.166465]]]}",21379,21,Marcheseuil (21),22/11,65,0 à 10,0 à 1,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.813556,47.189374],[4.810709,47.177618],[4.816998,47.178817],[4.835025,47.179152],[4.857518,47.175378],[4.862952,47.170554],[4.871073,47.174216],[4.867673,47.18275],[4.853406,47.184714],[4.847039,47.186962],[4.82551,47.191099],[4.813556,47.189374]]]}",21070,21,Bévy (21),22/11,65,0 à 10,5 à 10,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.779564,46.91854],[4.792067,46.925282],[4.788934,46.932273],[4.786379,46.934695],[4.777915,46.938209],[4.771348,46.935384],[4.769531,46.92867],[4.779892,46.923969],[4.779564,46.91854]]]}",21236,21,Ébaty (21),22/11,65,0 à 10,0 à 1,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[6.87904,47.350464],[6.879645,47.352543],[6.879363,47.35778],[6.884219,47.366239],[6.8836,47.372865],[6.895816,47.379898],[6.895095,47.381708],[6.890081,47.384315],[6.873067,47.381707],[6.853478,47.375709],[6.856747,47.37226],[6.856501,47.366866],[6.844776,47.362772],[6.8455,47.360769],[6.853308,47.360609],[6.868783,47.352802],[6.87904,47.350464]]]}",25615,25,Villars-lès-Blamont (25),22/11,65,50 à 150,5 à 10,1500 à 2000
"{""type"":""Polygon"",""coordinates"":[[[4.26148,47.375248],[4.274765,47.38111],[4.277829,47.38442],[4.290052,47.384662],[4.302219,47.387709],[4.299413,47.396053],[4.304874,47.404259],[4.299095,47.408147],[4.29364,47.405205],[4.275907,47.40685],[4.2728,47.408657],[4.266864,47.403942],[4.25403,47.395927],[4.260275,47.3882],[4.254977,47.386684],[4.256376,47.378241],[4.26148,47.375248]]]}",21007,21,Aisy-sous-Thil (21),22/11,65,0 à 10,0 à 1,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.673597,47.377457],[4.674771,47.374013],[4.678982,47.366324],[4.68067,47.359137],[4.68928,47.361669],[4.696671,47.355687],[4.703934,47.354881],[4.699673,47.368022],[4.686047,47.380673],[4.673597,47.377457]]]}",21669,21,Verrey-sous-Drée (21),22/11,65,0 à 10,15 à 20,0 à 300
