Date,Nombre quotidien de personnes nouvellement décédées
2020-03-19,13
2020-03-20,3
2020-03-21,14
2020-03-22,13
2020-03-23,14
2020-03-24,23
2020-03-25,17
2020-03-26,21
2020-03-27,16
2020-03-28,9
2020-03-29,16
2020-03-30,23
2020-03-31,28
2020-04-01,18
2020-04-02,41
2020-04-03,33
2020-04-04,21
2020-04-05,18
2020-04-06,26
2020-04-07,29
2020-04-08,16
2020-04-09,15
2020-04-10,32
2020-04-11,19
2020-04-12,22
2020-04-13,12
2020-04-14,39
2020-04-15,31
2020-04-16,27
2020-04-17,16
2020-04-18,21
2020-04-19,13
2020-04-20,20
2020-04-21,28
2020-04-22,16
2020-04-23,32
2020-04-24,18
2020-04-25,16
2020-04-26,11
2020-04-27,17
2020-04-28,7
2020-04-29,13
2020-04-30,6
2020-05-01,5
2020-05-02,7
2020-05-03,6
2020-05-04,13
2020-05-05,15
2020-05-06,12
2020-05-07,10
2020-05-08,8
2020-05-09,7
2020-05-10,5
2020-05-11,13
2020-05-12,10
2020-05-13,6
2020-05-14,3
2020-05-15,2
2020-05-16,2
2020-05-17,0
