dep,jour,P,T,cl_age90,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
90,2020-05-13,0,60,0,0.0,,,
90,2020-05-14,1,67,0,1.4925373134328357,,,
90,2020-05-15,1,81,0,1.2345679012345678,,,
90,2020-05-16,0,36,0,0.0,,,
90,2020-05-17,0,28,0,0.0,,,
90,2020-05-18,7,132,0,5.303030303030303,,,
90,2020-05-19,4,122,0,3.278688524590164,13.0,526.0,2.4714828897338403
90,2020-05-20,3,76,0,3.9473684210526314,16.0,542.0,2.952029520295203
90,2020-05-21,0,16,0,0.0,15.0,491.0,3.054989816700611
90,2020-05-22,0,53,0,0.0,14.0,463.0,3.023758099352052
90,2020-05-23,1,19,0,5.263157894736842,15.0,446.0,3.3632286995515694
90,2020-05-24,1,2,0,50.0,16.0,420.0,3.8095238095238098
90,2020-05-25,0,105,0,0.0,9.0,393.0,2.2900763358778624
90,2020-05-26,0,116,0,0.0,5.0,387.0,1.2919896640826873
90,2020-05-27,3,124,0,2.4193548387096775,5.0,435.0,1.1494252873563218
90,2020-05-28,4,80,0,5.0,9.0,499.0,1.8036072144288577
90,2020-05-29,2,168,0,1.1904761904761905,11.0,614.0,1.7915309446254073
90,2020-05-30,1,60,0,1.6666666666666667,11.0,655.0,1.6793893129770994
90,2020-05-31,1,39,0,2.564102564102564,11.0,692.0,1.5895953757225432
90,2020-06-01,1,43,0,2.3255813953488373,12.0,630.0,1.9047619047619049
90,2020-06-02,1,131,0,0.7633587786259541,13.0,645.0,2.0155038759689923
90,2020-06-03,2,106,0,1.8867924528301887,12.0,627.0,1.9138755980861244
90,2020-06-04,1,71,0,1.4084507042253522,9.0,618.0,1.4563106796116505
90,2020-06-05,3,100,0,3.0,10.0,550.0,1.8181818181818181
90,2020-06-06,0,52,0,0.0,9.0,542.0,1.6605166051660518
90,2020-06-07,0,20,0,0.0,8.0,523.0,1.5296367112810707
90,2020-06-08,0,160,0,0.0,7.0,640.0,1.09375
90,2020-06-09,1,120,0,0.8333333333333334,7.0,629.0,1.1128775834658187
90,2020-06-10,1,146,0,0.684931506849315,6.0,669.0,0.8968609865470852
90,2020-06-11,1,130,0,0.7692307692307693,6.0,728.0,0.8241758241758242
90,2020-06-12,2,158,0,1.2658227848101267,5.0,786.0,0.6361323155216284
90,2020-06-13,0,139,0,0.0,5.0,873.0,0.572737686139748
90,2020-06-14,1,64,0,1.5625,6.0,917.0,0.6543075245365322
90,2020-06-15,1,114,0,0.8771929824561403,7.0,871.0,0.8036739380022963
90,2020-06-16,0,112,0,0.0,6.0,863.0,0.6952491309385863
90,2020-06-17,0,82,0,0.0,5.0,799.0,0.6257822277847309
90,2020-06-18,1,83,0,1.2048192771084338,5.0,752.0,0.6648936170212766
90,2020-06-19,4,93,0,4.301075268817205,7.0,687.0,1.0189228529839884
90,2020-06-20,0,51,0,0.0,7.0,599.0,1.1686143572621035
90,2020-06-21,0,53,0,0.0,6.0,588.0,1.0204081632653061
90,2020-06-22,0,144,0,0.0,5.0,618.0,0.8090614886731391
90,2020-06-23,0,91,0,0.0,5.0,597.0,0.8375209380234505
90,2020-06-24,0,87,0,0.0,5.0,602.0,0.8305647840531563
90,2020-06-25,1,66,0,1.5151515151515151,5.0,585.0,0.8547008547008548
90,2020-06-26,0,94,0,0.0,1.0,586.0,0.17064846416382254
90,2020-06-27,0,53,0,0.0,1.0,588.0,0.17006802721088435
90,2020-06-28,0,47,0,0.0,1.0,582.0,0.1718213058419244
90,2020-06-29,0,111,0,0.0,1.0,549.0,0.18214936247723132
90,2020-06-30,0,105,0,0.0,1.0,563.0,0.17761989342806395
90,2020-07-01,0,107,0,0.0,1.0,583.0,0.17152658662092624
90,2020-07-02,0,95,0,0.0,0.0,612.0,0.0
90,2020-07-03,1,126,0,0.7936507936507936,1.0,644.0,0.15527950310559005
90,2020-07-04,0,82,0,0.0,1.0,673.0,0.1485884101040119
90,2020-07-05,0,38,0,0.0,1.0,664.0,0.15060240963855423
90,2020-07-06,0,109,0,0.0,1.0,662.0,0.1510574018126888
90,2020-07-07,1,147,0,0.6802721088435374,2.0,704.0,0.2840909090909091
90,2020-07-08,1,124,0,0.8064516129032258,3.0,721.0,0.4160887656033287
90,2020-07-09,0,104,0,0.0,3.0,730.0,0.410958904109589
90,2020-07-10,0,117,0,0.0,2.0,721.0,0.27739251040221913
90,2020-07-11,1,39,0,2.564102564102564,3.0,678.0,0.4424778761061947
90,2020-07-12,0,38,0,0.0,3.0,678.0,0.4424778761061947
90,2020-07-13,0,132,0,0.0,3.0,701.0,0.42796005706134094
90,2020-07-14,1,38,0,2.631578947368421,3.0,592.0,0.5067567567567568
90,2020-07-15,0,147,0,0.0,2.0,615.0,0.3252032520325203
90,2020-07-16,2,121,0,1.6528925619834711,4.0,632.0,0.6329113924050633
90,2020-07-17,1,126,0,0.7936507936507936,5.0,641.0,0.7800312012480499
90,2020-07-18,0,87,0,0.0,4.0,689.0,0.5805515239477503
90,2020-07-19,0,39,0,0.0,4.0,690.0,0.5797101449275363
90,2020-07-20,2,151,0,1.3245033112582782,6.0,709.0,0.846262341325811
90,2020-07-21,0,168,0,0.0,5.0,839.0,0.5959475566150179
90,2020-07-22,0,162,0,0.0,5.0,854.0,0.5854800936768151
90,2020-07-23,0,153,0,0.0,3.0,886.0,0.33860045146726864
90,2020-07-24,0,137,0,0.0,2.0,897.0,0.2229654403567447
90,2020-07-25,0,63,0,0.0,2.0,873.0,0.22909507445589922
90,2020-07-26,0,37,0,0.0,2.0,871.0,0.2296211251435132
90,2020-07-27,0,178,0,0.0,0.0,898.0,0.0
90,2020-07-28,0,183,0,0.0,0.0,913.0,0.0
90,2020-07-29,1,153,0,0.6535947712418301,1.0,904.0,0.11061946902654868
